Classical Q-codegree ; Fine Q-codegree ; Vertices of Polytope 
11/27;2/3;[[0,0],[1,0],[10,11],[9,9],[-8,-9],[-9,-11],[-11,-13]]
3/8;2/5;[[0,0],[1,0],[7,10],[-1,-2],[4,7],[6,10],[5,5],[7,8]]
2/5;2/5;[[0,0],[1,0],[13,17],[11,13],[15,19],[2,1]]
7/20;1/2;[[0,0],[1,0],[4,9],[3,3],[8,13]]
8/39;1/2;[[0,0],[1,0],[5,7],[6,11],[-6,-12],[-7,-13]]
1/2;1/2;[[0,0],[1,0],[4,7],[0,2],[1,5],[4,12],[3,10]]
3/10;1/2;[[0,0],[1,0],[8,20],[-4,-13],[9,23],[-2,-8]]
1/2;1/2;[[0,0],[1,0],[1,7],[-1,2],[-1,3],[2,1],[0,6],[3,4],[3,5]]
3/8;1/2;[[0,0],[1,0],[5,9],[0,1],[3,8],[6,14],[7,15]]
1;1;[[0,0],[16,0],[0,1],[12,-1],[-1,1],[7,-1]]
3/8;2/5;[[0,0],[1,0],[5,6],[1,4],[5,7],[3,1],[-1,2]]
3/7;3/7;[[0,0],[1,0],[0,1],[-8,5],[-5,5],[-15,10],[-14,9]]
3/8;1/2;[[0,0],[1,0],[1,4],[4,4],[3,9],[4,11]]
1/2;1/2;[[0,0],[1,0],[3,4],[10,13],[7,8],[-10,-14],[-11,-15]]
1/3;1/2;[[0,0],[1,0],[6,8],[6,6],[3,6],[7,8],[1,4]]
2/5;2/5;[[0,0],[1,0],[2,5],[4,4],[6,9],[6,8],[4,9]]
1/3;2/5;[[0,0],[2,0],[2,3],[6,7],[6,3],[5,7]]
13/42;3/8;[[0,0],[5,0],[0,1],[-6,1],[-11,3],[19,-3]]
3/8;1/2;[[0,0],[1,0],[2,3],[4,1],[5,5],[7,6],[9,6]]
1/2;1/2;[[0,0],[1,0],[0,7],[-1,5],[-1,6],[3,6],[3,7]]
1;1;[[0,0],[1,0],[0,1],[-18,17],[-19,18],[-18,18]]
9/28;1/2;[[0,0],[2,0],[1,2],[3,-7],[4,-6],[2,-7],[4,-5],[1,-5]]
2/3;2/3;[[0,0],[1,0],[3,11],[1,9],[2,4],[0,2],[2,12],[3,13]]
3/10;2/5;[[0,0],[4,0],[0,3],[-4,4],[-4,3],[-5,4],[2,-1],[5,-2]]
1/3;2/5;[[0,0],[1,0],[6,14],[-6,-16],[-4,-10],[7,17]]
9/29;1/2;[[0,0],[1,0],[5,15],[-5,-17],[5,16],[6,19]]
13/42;3/8;[[0,0],[1,0],[0,1],[-17,12],[-9,8]]
2/5;2/5;[[0,0],[1,0],[0,1],[-13,5],[-11,3],[-12,5],[-8,4]]
1/2;1/2;[[0,0],[1,0],[1,2],[6,8],[5,9],[11,18]]
1/3;2/5;[[0,0],[1,0],[0,4],[-4,1],[-1,5],[-5,3],[-5,2]]
2/5;2/5;[[0,0],[1,0],[0,1],[5,8],[5,5],[4,8],[2,6]]
3/10;2/5;[[0,0],[1,0],[11,14],[-3,-4],[8,9],[-10,-14]]
17/52;1/2;[[0,0],[3,0],[3,4],[7,5],[2,-1],[-1,-3]]
1/3;1/3;[[0,0],[1,0],[3,6],[4,5],[-1,4],[-2,3],[4,6]]
1/3;1/2;[[0,0],[1,0],[4,9],[4,7],[3,7],[6,12],[-5,-12],[-4,-11]]
1/2;1/2;[[0,0],[1,0],[3,4],[6,3],[5,6],[9,6]]
1/2;1/2;[[0,0],[1,0],[0,1],[9,3],[11,4],[4,4]]
4/11;2/5;[[0,0],[1,0],[3,5],[6,8],[3,1],[5,8],[4,2],[6,5]]
5/16;1/2;[[0,0],[1,0],[9,16],[7,10],[4,4]]
2/3;2/3;[[0,0],[2,0],[0,2],[-7,7],[7,-6],[-9,8],[-10,9]]
